wsRequestUuid,wsMethodName,requestTimeStart,requestTimeEnd,returnCode,scoringDir,scoringTimeStart,scoringTimeEnd,relatingCustomers,asyncRequestId,tbqFormId,serverName
8221560f-4769-4d19-86ea-da727063a891,KycScoreTask,20240926161015604,20240926161042142,-600,null,null             ,null,                ,null,null,DESKTOP-KVDSS9M
c99b5fc7-9db5-455a-9887-b38c845132dd,KycScoreTask,20241212200834090,20241212200901150,0,KYCAPI_000000005,20241212200847446,20241212200900696,MN|KYC1734014280441,null,null,DESKTOP-KVDSS9M
571d484b-c124-42f4-bc55-eeed3f6ae678,KycGetResultsTask,20241212200902991,20241212200903173,0,null,null,null,KYC1734014280441,null,null,DESKTOP-KVDSS9M
773abb62-3595-4d28-bea7-8e2fdbfc5915,KycScoreTask,20241212212929381,20241212212949444,0,KYCAPI_000000006,20241212212935266,20241212212949143,MN|KYC1734019152368,null,null,DESKTOP-KVDSS9M
a76fa0bb-7f09-4e6d-9cb5-ee69c297c7af,KycGetResultsTask,20241212212950001,20241212212950424,0,null,null,null,KYC1734019152368,null,null,DESKTOP-KVDSS9M
2061ef1c-0147-4fa3-85c2-d9d8c42590cd,KycScoreTask,20250527151510706,20250527151544524,0,KYCAPI_000000007,20250527151526578,20250527151542387,MN|KYC1748339125863,null,null,DESKTOP-KVDSS9M
00dc5692-8e72-4955-b12f-34e0cb02e642,KycScoreTask,20250528090946389,20250528091010075,0,KYCAPI_000000008,20250528090954624,20250528091009850,MN|KYC1748403593869,null,null,DESKTOP-KVDSS9M
7462ba3b-9398-4635-9171-a7394bc09227,KycScoreTask,20250528102335538,20250528102349527,0,KYCAPI_000000009,20250528102338343,20250528102349213,MN|KYC1748408017682,null,null,DESKTOP-KVDSS9M
59c03de3-33f3-48f6-8184-772bb3f80239,KycScoreTask,20250528104041065,20250528104055197,0,KYCAPI_000000010,20250528104044322,20250528104054906,MN|KYC1748409043532,null,null,DESKTOP-KVDSS9M
0776b25a-c618-4648-8f4a-9d65659e93e4,KycScoreTask,20250528104757130,20250528104811718,0,KYCAPI_000000011,20250528104800000,20250528104811249,MN|KYC1748409479387,null,null,DESKTOP-KVDSS9M
5b44286c-43cf-4b92-87f4-376b8ad0ffcb,KycScoreTask,20250528110926251,20250528110950476,0,KYCAPI_000000012,20250528110935536,20250528110950167,MN|KYC1748410774601,null,null,DESKTOP-KVDSS9M
bd3acc9d-567a-475a-9771-566ffcf86914,KycScoreTask,20240926161015605,20240926161042378,-600,null,null,null,                ,null,null,DESKTOP-KVDSS9M
eeb6ff9b-e2cb-458c-9060-63dd83cc3b8f,KycScoreTask,20240926161029142,20240926161228738,0,KYCAPI_000000001,20240926161043145,20240926161226746,MN|KYC1727347239471,null,null,DESKTOP-KVDSS9M
84239aff-51a6-475a-a751-33bff457001b,KycScoreTask,20240926161356391,20240926161421248,0,KYCAPI_000000002,20240926161401158,20240926161420949,MN|KYC1727347440156,null,null,DESKTOP-KVDSS9M
f7d1268f-3b14-4fa1-b0f5-311f9203e8fd,ScorePersonsTask,20240926161823475,20240926161833918,0,PEPAPI_000000003,20240926161826945,20240926161833781,MN|PEPAPI_000000003,null,null,DESKTOP-KVDSS9M
28ac5982-8dd4-4fda-a9ef-fd3c3ab00b4b,ScorePersonsTask,20240926161920863,20240926161931124,0,PEPAPI_000000004,20240926161924280,20240926161931006,MN|PEPAPI_000000004,null,null,DESKTOP-KVDSS9M
